Name,Platform,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Release_Date
Yomawari: The Long Night Collection,NS,Action-Adventure,NIS America,0.04,,0.01,0,0.05,2018-10-30
Hotel Transylvania 3: Monsters Overboard,XOne,Action-Adventure,Outright Games,0.04,,,0,0.04,2018-07-10
Earthfall,PS4,Action-Adventure,Gearbox Software,0.03,,,0.01,0.04,2018-07-13
Asterix and Obelix XXL2,PS4,Action-Adventure,Microids,,0.03,,0.01,0.04,2018-11-29
Hotel Transylvania 3: Monsters Overboard,PS4,Action-Adventure,Outright Games,0.03,,,0.01,0.04,2018-07-10
Assassin's Creed Rogue Remastered,XOne,Action-Adventure,Ubisoft,,0.03,,0,0.04,2018-03-20
Monster Boy and the Cursed Kingdom,NS,Action-Adventure,FDG Entertainment,0.03,,,0,0.04,2018-11-06
The Persistence,PS4,Action-Adventure,Sony Interactive Entertainment,,0.03,,0.01,0.04,2018-07-24
Earthfall,XOne,Action-Adventure,Gearbox Software,0.03,,,0,0.03,2018-07-13
Override: Mech City Brawl,PS4,Action-Adventure,Modus Games,0.02,,,0.01,0.03,2018-12-04
Beast Quest,PS4,Action-Adventure,Maximum Games,0.02,,,0.01,0.03,2018-03-13
Record of Grancrest War,PS4,Action-Adventure,Bandai Namco Games,,,0.03,,0.03,2018-06-14
Beast Quest,XOne,Action-Adventure,Maximum Games,0.02,,,0,0.03,2018-03-13
Agony,PS4,Action-Adventure,Maximum Games,0.02,,,0,0.03,2018-05-29
Agony,XOne,Action-Adventure,Maximum Games,0.02,,,0,0.02,2018-05-29
Override: Mech City Brawl,XOne,Action-Adventure,Modus Games,0.02,,,0,0.02,2018-12-04
Border Break,PS4,Action-Adventure,Sega,,,0.02,,0.02,2018-08-02
Max: The Curse of Brotherhood,NS,Action-Adventure,Wired Productions,0.01,,,0,0.01,2018-04-24
Far Cry 3: Classic Edition,PS4,Action-Adventure,Ubisoft,,,0.01,,0.01,2018-07-05
Hotel Transylvania 3: Monsters Overboard,NS,Action-Adventure,Outright Games,0.01,,,0,0.01,2018-07-10
Legend of Kay Anniversary,NS,Action-Adventure,THQ Nordic,,0.01,,0,0.01,2018-05-29
Below,XOne,Action-Adventure,Capybara Games,,,,,,2018-12-14
Below,PC,Action-Adventure,Capybara Games,,,,,,2018-12-14
Rust,OSX,Action-Adventure,Facepunch Studios,,,,,,2018-02-08
World to the West,WiiU,Action-Adventure,Rain Games,,,,,,2018-12-31
Anodyne,XOne,Action-Adventure,Analgesic Productions,,,,,,2018-09-21
Anodyne,PS4,Action-Adventure,Analgesic Productions,,,,,,2018-09-18
Ashen (2018),PC,Action-Adventure,Annapurna Interactive,,,,,,2018-12-07
Ashen (2018),XOne,Action-Adventure,Annapurna Interactive,,,,,,2018-12-07
Assassin's Creed Odyssey: Cloud Version,NS,Action-Adventure,Ubisoft,,,,,,2018-10-05
Asterix and Obelix XXL2,XOne,Action-Adventure,Microids,,,,,,2018-11-29
Asterix and Obelix XXL2,PC,Action-Adventure,Microids,,,,,,2018-11-29
AWAY: Journey to the Unexpected,NS,Action-Adventure,PLAYDIUS,,,,,,2018-12-30
Battle Princess Madelyn,NS,Action-Adventure,Casual Bit Games,,,,,,2018-12-19
Crossing Souls,PS4,Action-Adventure,Devolver Digital,,,,,,2018-02-13
Disneyland Adventures,PC,Action-Adventure,THQ Nordic,,,,,,2018-09-14
Downward Spiral: Horus Station,PS4,Action-Adventure,3rd Eye Studios,,,,,,2018-09-18
Downward Spiral: Horus Station,PC,Action-Adventure,3rd Eye Studios,,,,,,2018-05-31
Earthfall,PC,Action-Adventure,Gearbox Software,,,,,,2018-07-13
Figment,NS,Action-Adventure,Bedtime Digital Games,,,,,,2018-06-28
Forgotton Anne,PS4,Action-Adventure,Square Enix,,,,,,2018-05-15
Hitman 2,PC,Action-Adventure,Warner Bros. Interactive Entertainment,,,,,,2018-11-13
Hollow Knight,PS4,Action-Adventure,Team Cherry,,,,,,2018-09-25
Iconoclasts,PC,Action-Adventure,Bifrost Entertainment,,,,,,2018-01-23
Iconoclasts,PS4,Action-Adventure,Bifrost Entertainment,,,,,,2018-01-23
Iconoclasts,PSV,Action-Adventure,Bifrost Entertainment,,,,,,2018-01-23
Just Cause 4,PC,Action-Adventure,Square Enix,,,,,,2018-12-04
Mulaka,NS,Action-Adventure,Lienzo,,,,,,2018-03-01
Override: Mech City Brawl,PC,Action-Adventure,Modus Games,,,,,,2018-12-04
ReCore: Definitive Edition,PC,Action-Adventure,Microsoft Studios,,,,,,2018-09-14
Rust,Linux,Action-Adventure,Facepunch Studios,,,,,,2018-02-08
Shadow of the Tomb Raider,PC,Action-Adventure,Square Enix,,,,,,2018-09-14
Shenmue I & II,PC,Action-Adventure,Sega,,,,,,2018-08-21
State of Decay 2,PC,Action-Adventure,Microsoft Studios,,,,,,2018-05-22
State of Decay 2,All,Action-Adventure,Xbox Game Studios,,,,,,2018-05-22
The Aquatic Adventure of the Last Human,XOne,Action-Adventure,Digerati,,,,,,2018-01-19
The Aquatic Adventure of the Last Human,PS4,Action-Adventure,Digerati,,,,,,2018-01-23
The Fall Part 2: Unbound,NS,Action-Adventure,Over The Moon,,,,,,2018-02-13
The friends of Ringo Ishikawa,PC,Action-Adventure,yeo,,,,,,2018-05-17
Transistor,NS,Action-Adventure,Supergiant Games,,,,,,2018-11-01
World to the West,NS,Action-Adventure,Rain Games,,,,,,2018-01-18
Billion Road,NS,Board+Game,Bandai Namco Games,,,0.01,,0.01,2018-11-29
Carcassonne,NS,Board+Game,Asmodee Digital,,,,,,2018-12-06
Fable Fortune,PC,Board+Game,Mediatonic,,,,,,2018-02-22
Fable Fortune,XOne,Board+Game,Mediatonic,,,,,,2018-02-22
Poisoft Thud Card,NS,Board+Game,Poisoft,,,,,,2018-03-01
Super Smash Bros. Ultimate,NS,Fighting,Nintendo,,,,,,2018-12-07
Dragon Ball FighterZ,All,Fighting,Bandai Namco Entertainment,,,,,,2018-01-26
Dragon Ball FighterZ,PS4,Fighting,Namco Bandai Games,,,,,,2018-01-26
Naruto Shippuden: Ultimate Ninja Storm Trilogy,All,Fighting,Bandai Namco Entertainment,,,,,,2018-04-26
Street Fighter 30th Anniversary Collection,All,Fighting,Capcom,,,,,,2018-05-29
Dragon Ball FighterZ,NS,Fighting,Bandai Namco Entertainment,,,,,,2018-09-28
Naruto Shippuden: Ultimate Ninja Storm Trilogy,PS4,Fighting,Bandai Namco Entertainment,,,,,,2018-04-26
SoulCalibur VI,All,Fighting,Bandai Namco Entertainment,,,,,,2018-10-19
Dragon Ball FighterZ,XOne,Fighting,Namco Bandai Games,,,,,,2018-01-26
SoulCalibur VI,PS4,Fighting,Bandai Namco Games,,,,,,2018-10-19
Jump Force,XOne,Fighting,Bandai Namco Entertainment,,,,,,2018-02-15
Naruto Shippuden: Ultimate Ninja Storm Trilogy,NS,Fighting,Bandai Namco Entertainment,,,,,,2018-04-26
WWE 2K19,PS4,Fighting,2K Sports,0.36,0.46,,0.16,0.98,2018-10-09
Dragon Ball FighterZ,PC,Fighting,Namco Bandai Games,,,,,,2018-01-26
My Hero One's Justice,All,Fighting,Bandai Namco Entertainment,,,,,,2018-10-26
WWE 2K19,XOne,Fighting,2K Sports,0.3,0.14,,0.04,0.48,2018-10-09
Dissidia Final Fantasy NT,PS4,Fighting,Square Enix,0.19,0.06,0.16,0.05,0.46,2018-01-30
BlazBlue: Cross Tag Battle,All,Fighting,Arc System Works,,,,,,2018-06-05
Kirby: Battle Royale,3DS,Fighting,Nintendo,0.07,0.05,0.2,0.01,0.33,2018-01-19
My Hero One's Justice,PS4,Fighting,Bandai Namco Entertainment,0.16,0.05,0.04,0.05,0.3,2018-10-26
SNK Heroines: Tag Team Frenzy,All,Fighting,NIS America,,,,,,2018-09-07
SoulCalibur VI,XOne,Fighting,Bandai Namco Games,0.26,0.01,,0.03,0.3,2018-10-19
My Hero One's Justice,NS,Fighting,Bandai Namco Entertainment,0.17,0.01,0.06,0.02,0.26,2018-10-26
Street Fighter 30th Anniversary Collection,PS4,Fighting,Capcom,0.11,0.07,0.02,0.04,0.24,2018-05-29
Street Fighter 30th Anniversary Collection,NS,Fighting,Capcom,0.12,0.04,0.01,0.02,0.19,2018-05-29
My Hero One's Justice,XOne,Fighting,Bandai Namco Entertainment,0.12,,,0.01,0.14,2018-10-26
Fire Pro Wrestling World,PS4,Fighting,Spike Chunsoft,0.06,0.02,0.03,0.02,0.12,2018-08-28
The Seven Deadly Sins: Knights of Britannia,PS4,Fighting,Bandai Namco Entertainment,0.05,0.02,0.02,0.01,0.1,2018-02-09
BlazBlue: Cross Tag Battle,PS4,Fighting,Arc System Works,0.04,,0.03,0.01,0.08,2018-06-05
Street Fighter 30th Anniversary Collection,XOne,Fighting,Capcom,0.05,0.01,,0.01,0.07,2018-05-29
BlazBlue: Cross Tag Battle,NS,Fighting,Arc System Works,0.04,0.01,0.01,0.01,0.07,2018-06-05
Brawlout,NS,Fighting,Merge Games,,,,,,2018-06-26
SNK Heroines Tag Team Frenzy,NS,Fighting,NIS America,0.02,0.01,0.01,0,0.05,2018-09-07
Under Night In-Birth Exe:Latest,PS4,Fighting,Aksys Games,0.01,,0.03,0,0.04,2018-02-09
Blade Strangers,NS,Fighting,Nicalis,0.03,,,0,0.04,2018-08-28
Omen of Sorrow,PS4,Fighting,Soedesco,0.03,,,0.01,0.04,2018-11-16
Kamen Rider: Climax Scramble Zi-O,NS,Fighting,Bandai Namco Games,,,0.03,,0.03,2018-11-29
Blade Strangers,PS4,Fighting,Nicalis,0.02,,,0,0.02,2018-08-28
Full Metal Panic! Fight: Who Dares Wins,PS4,Fighting,Bandai Namco Entertainment,,,0.02,,0.02,2018-05-31
SNK Heroines Tag Team Frenzy,PS4,Fighting,NIS America,,,0.02,,0.02,2018-09-07
Capcom Beat 'Em Up Bundle,PS4,Fighting,Capcom,,,0.01,,0.01,2018-09-18
Capcom Beat 'Em Up Bundle,NS,Fighting,Capcom,,,0.01,,0.01,2018-09-18
Million Arthur: Arcana Blood,PS4,Fighting,Square Enix,,,0.01,,0.01,2018-11-29
Street Fighter 30th Anniversary Collection,PC,Fighting,Capcom,,0,,0,0,2018-05-29
ACA NEOGEO ART OF FIGHTING 2,NS,Fighting,Hamster Corporation,,,,,,2018-01-11
ACA NEOGEO ART OF FIGHTING 3,XOne,Fighting,Hamster Corporation,,,,,,2018-07-26
ACA NEOGEO FATAL FURY 3,NS,Fighting,Hamster Corporation,,,,,,2018-02-15
ACA NEOGEO REAL BOUT FATAL FURY,NS,Fighting,Hamster Corporation,,,,,,2018-03-18
ACA NEOGEO REAL BOUT FATAL FURY 2,XOne,Fighting,Hamster Corporation,,,,,,2018-03-08
ACA NEOGEO REAL BOUT FATAL FURY SPECIAL,PS4,Fighting,Hamster Corporation,,,,,,2018-01-08
ACA NEOGEO REAL BOUT FATAL FURY SPECIAL,NS,Fighting,Hamster Corporation,,,,,,2018-04-19
ACA NEOGEO SAMURAI SHODOWN II,NS,Fighting,Hamster Corporation,,,,,,2018-02-01
ACA NEOGEO SAMURAI SHODOWN III,PS4,Fighting,Hamster Corporation,,,,,,2018-04-19
ACA NEOGEO SAMURAI SHODOWN III,XOne,Fighting,Hamster Corporation,,,,,,2018-02-01
ACA NEOGEO SAMURAI SHODOWN III,NS,Fighting,Hamster Corporation,,,,,,2018-04-05
ACA NEOGEO SAMURAI SHODOWN IV,PS4,Fighting,Hamster Corporation,,,,,,2018-06-08
ACA NEOGEO SAMURAI SHODOWN IV,XOne,Fighting,Hamster Corporation,,,,,,2018-04-19
ACA NEOGEO SAMURAI SHODOWN V,NS,Fighting,Hamster Corporation,,,,,,2018-07-05
ACA NEOGEO SAMURAI SHODOWN V,XOne,Fighting,Hamster Corporation,,,,,,2018-07-05
ACA NEOGEO THE KING OF FIGHTERS '97,NS,Fighting,Hamster Corporation,,,,,,2018-07-26
ACA NEOGEO THE KING OF FIGHTERS '98,PS4,Fighting,Hamster Corporation,,,,,,2018-02-26
ACA NEOGEO THE KING OF FIGHTERS '98,XOne,Fighting,Hamster Corporation,,,,,,2018-01-11
ACA NEOGEO THE KING OF FIGHTERS '99,XOne,Fighting,Hamster Corporation,,,,,,2018-04-05
ACA NEOGEO THE KING OF FIGHTERS 2000,XOne,Fighting,Hamster Corporation,,,,,,2018-06-21
ACA NEOGEO THE LAST BLADE 2,NS,Fighting,Hamster Corporation,,,,,,2018-06-21
ACA NEOGEO THE LAST BLADE 2,PS4,Fighting,Hamster Corporation,,,,,,2018-04-19
ACA NEOGEO THE LAST BLADE 2,XOne,Fighting,Hamster Corporation,,,,,,2018-02-15
ACA NEOGEO WORLD HEROES,XOne,Fighting,Hamster Corporation,,,,,,2018-02-23
ACA NEOGEO WORLD HEROES 2,NS,Fighting,Hamster Corporation,,,,,,2018-01-25
ACA NEOGEO WORLD HEROES 2 JET,NS,Fighting,Hamster Corporation,,,,,,2018-03-22
ACA NEOGEO WORLD HEROES 2 JET,PS4,Fighting,Hamster Corporation,,,,,,2018-01-30
Arcade Archives: Double Dragon,NS,Fighting,Taito Corporation,,,,,,2018-01-18
BlazBlue: Cross Tag Battle,PC,Fighting,Arc System Works,,,,,,2018-06-05
Capcom Beat 'Em Up Bundle,XOne,Fighting,Capcom,,,,,,2018-09-18
Capcom Beat 'Em Up Bundle,PC,Fighting,Capcom,,,,,,2018-09-18
Fantasy Strike,NS,Fighting,Sirlin Games,,,,,,2018-07-01
Fighting EX Layer,PS4,Fighting,Arika,,,,,,2018-06-28
My Hero One's Justice,PC,Fighting,Bandai Namco Entertainment,,,,,,2018-10-26
Naruto Shippuden: Ultimate Ninja Storm Trilogy,XOne,Fighting,Bandai Namco Entertainment,,,,,,2018-04-26
Pocket Rumble,NS,Fighting,Chucklefish,,,,,,2018-12-30
SoulCalibur VI,PC,Fighting,Bandai Namco Games,,,,,,2018-10-19
Steredenn: Binary Stars,NS,Fighting,Plug In Digital,,,,,,2018-03-08
Street Fighter V: Arcade Edition,PS4,Fighting,Capcom,,,,,,2018-01-16
WWE 2K19,PC,Fighting,2K Sports,,,,,,2018-10-09
Nintendo Labo: Toy-Con 01 Variety Kit,NS,Misc,Nintendo,,,,,,2018-04-20
Go Vacation,NS,Misc,Nintendo,0.12,0.22,0.01,0.03,0.37,2018-07-27
Sega Genesis Classics,PS4,Misc,Sega,0.08,0.21,,0.05,0.35,2018-05-29
WarioWare Gold,3DS,Misc,Nintendo,0.11,0.03,0.13,0.01,0.28,2018-08-03
Sega Genesis Classics,NS,Misc,Sega,0.1,0.06,,0.02,0.18,2018-12-07
Namco Museum Arcade Pac,NS,Misc,Bandai Namco Entertainment,0.08,0.02,,0.01,0.11,2018-09-28
Sega Genesis Classics,XOne,Misc,Sega,0.06,0.03,,0.01,0.1,2018-05-29
Atari Flashback Classics: Volume 3,PS4,Misc,Funbox Media,0.05,,,0.01,0.06,2018-09-28
Atari Flashback Classics: Volume 3,XOne,Misc,Funbox Media,0.04,,,0.01,0.05,2018-09-28
Atari Flashback Classics: Volume 1,NS,Misc,Atari,0.04,,,0,0.04,2018-12-13
Death Mark,PS4,Misc,Aksys Games,0.02,,0.01,0,0.03,2018-10-31
Sumikko Gurashi Atsumare Sumikko Town,NS,Misc,Nippon Columbia,,,0.03,,0.03,2018-10-04
Penny-Punching Princess,NS,Misc,NIS America,0.03,,,0,0.03,2018-04-03
SNK 40th Anniversary Collection,NS,Misc,NIS America,0.02,,,0,0.03,2018-11-13
Hello Kitty Kruisers,NS,Misc,Rising Star Games,0.02,,,0,0.02,2018-05-15
Senran Kagura: Peach and Reflexions Limited Double Pack,NS,Misc,Marvelous,,,0.02,,0.02,2018-12-13
Wordhunters,PS4,Misc,Wired Productions,0.01,,,0,0.01,2018-12-04
Peach Ball: Senran Kagura,NS,Misc,Marvelous Entertainment,,,0.01,,0.01,2018-12-13
Cube Creator X,NS,Misc,Arc System Works,,,0.01,,0.01,2018-04-26
Kunio-kun: The World Classics Collection,NS,Misc,Arc System Works,,,0.01,,0.01,2018-12-20
Closed Nightmare,PS4,Misc,Nippon Ichi Software,,,0.01,,0.01,2018-07-19
Kunio-kun: The World Classics Collection,PS4,Misc,Arc System Works,,,0.01,,0.01,2018-12-20
Happy Birthdays,NS,Misc,NIS America,0.01,,,0,0.01,2018-06-05
Closed Nightmare,NS,Misc,Nippon Ichi Software,,,0,,0,2018-07-19
WorldNeverland: Elnea Kingdom,NS,Misc,althi Inc.,,,0,,0,2018-03-15
Get Even,PS4,Misc,Farm 51,,,,,,2018-01-01
Red Goddess,WiiU,Misc,Yanim Studio,,,,,,2018-01-01
Red Goddess,PSV,Misc,Yanim Studio,,,,,,2018-01-01
Return of the Obra Dinn,PC,Misc,3909 LLC,,,,,,2018-10-18
Artifact,OSX,Misc,Valve Corporation,,,,,,2018-11-28
Artifact,Linux,Misc,Valve Corporation,,,,,,2018-11-28
Artifact,PC,Misc,Valve Corporation,,,,,,2018-11-28
Clustertruck,NS,Misc,TinyBuild Games,,,,,,2018-03-15
Frederic 2: Evil Strikes Back,NS,Misc,Forever Entertainment S.A.,,,,,,2018-02-01
Gwent: The Witcher Card Game,PC,Misc,CD Projekt Red Studio,,,,,,2018-10-23
Gwent: The Witcher Card Game,PS4,Misc,CD Projekt Red Studio,,,,,,2018-12-04
Gwent: The Witcher Card Game,XOne,Misc,CD Projekt Red Studio,,,,,,2018-12-04
Metal!,NS,Misc,DMM Games,,,,,,2018-02-08
Penny-Punching Princess,PSV,Misc,NIS America,,,,,,2018-04-03
PriPara: All Idol Perfect Stage,NS,Misc,Takara Tomy ARTS,,,,,,2018-03-22
Rainbow Snake,WiiU,Misc,RandomSpin,,,,,,2018-05-03
Spyro + Crash Remastered Game Bundle,PS4,Misc,Activision,,,,,,2018-12-01
Spyro + Crash Remastered Game Bundle,XOne,Misc,Activision,,,,,,2018-12-01
Summer Lesson: Hikari - Allison - Chisato 3 in 1 Game Pack,PS4,Misc,Bandai Namco Entertainment,,,,,,2018-02-22
Trivia Vault Basketball Trivia,PC,Misc,Unknown,,,,,,2018-03-03
Trivia Vault: Fashion Trivia,PC,Misc,Unknown,,,,,,2018-05-24
Trivia Vault: Food Trivia,PC,Misc,Unknown,,,,,,2018-05-30
Trivia Vault: Golf Trivia,PC,Misc,Unknown,,,,,,2018-03-29
Trivia Vault: Literature Trivia,PC,Misc,Unknown,,,,,,2018-06-01
Trivia Vault: Mixed Trivia 2,PC,Misc,Unknown,,,,,,2018-02-13
Trivia Vault: Music Trivia,PC,Misc,Unknown,,,,,,2018-06-22
Trivia Vault: Soccer Trivia,PC,Misc,Unknown,,,,,,2018-04-23
Trivia Vault: Toy Trivia,PC,Misc,Unknown,,,,,,2018-05-25
Trivia Vault: TV Trivia,PC,Misc,Unknown,,,,,,2018-05-03
World of Warcraft: Battle for Azeroth,PC,MMO,Blizzard Entertainment,,,,,,2018-08-14
The Elder Scrolls Online: Summerset,XOne,MMO,Bethesda Softworks,0.09,0.01,,0.01,0.11,2018-05-21
The Elder Scrolls Online: Summerset,PS4,MMO,Bethesda Softworks,0.08,,,0.02,0.1,2018-05-21
Dragon Quest X: All in One Package Ver.1-4,NS,MMO,Square Enix,,,0.03,,0.03,2018-07-26
Dragon Quest X: All in One Package Ver.1-4,PS4,MMO,Square Enix,,,0.01,,0.01,2018-07-26
The Elder Scrolls Online: Summerset,PC,MMO,Bethesda Softworks,,0.01,,0,0.01,2018-05-21
Dragon's Prophet,PC,MMO,Sony Online Entertainment,,,,,,2018-09-23
ATLAS,PC,MMO,Studio Wildcard,,,,,,2018-12-19
Dragon Quest X: All in One Package Ver.1-4,PC,MMO,Square Enix,,,,,,2018-07-26
Dragon Quest X: All in One Package Ver.1-4,WiiU,MMO,Square Enix,,,,,,2018-07-26
Everspace,NS,MMO,Rockfish Games,,,,,,2018-12-11
Phantasy Star Online 2: Cloud,NS,MMO,Sega,,,,,,2018-04-04
Taiko no Tatsujin: Drum 'n' Fun!,NS,Music,Bandai Namco Games,,,,,,2018-11-02
Just Dance 2019,NS,Music,Ubisoft,0.43,0.26,,0.07,0.76,2018-10-23
Just Dance 2019,Wii,Music,Ubisoft,0.1,0.12,,0.02,0.24,2018-10-23
Just Dance 2019,PS4,Music,Ubisoft,0.11,0.03,,0.03,0.17,2018-10-23
Just Dance 2019,XOne,Music,Ubisoft,0.13,0.01,,0.02,0.15,2018-10-23
Persona Dancing: Endless Night Collection,PS4,Music,Atlus,0.07,,0.04,0.02,0.13,2018-12-04
Just Dance 2019,WiiU,Music,Ubisoft,0.06,0.03,,0.01,0.1,2018-10-23
Just Dance 2019,X360,Music,Ubisoft,0.05,0.01,,0.01,0.07,2018-10-23
Persona 5: Dancing in Starlight,PS4,Music,Atlus,0.03,,0.03,0.01,0.06,2018-12-04
VOEZ,NS,Music,PM Studios,,,,,,2018-08-14
Persona 3: Dancing in Moonlight,PS4,Music,Atlus,0.02,,0.01,0.01,0.04,2018-12-04
Let's Sing 2019,NS,Music,Ravenscourt,,0.03,,0,0.03,2018-10-26
IDOLiSH7 Twelve Fantasia!,PSV,Music,Bandai Namco Entertainment,,,0.03,,0.03,2018-02-15
Let's Sing 2019,PS4,Music,Ravenscourt,,0.03,,0,0.03,2018-10-26
Persona 5: Dancing in Starlight,PSV,Music,Atlus,,,0.02,,0.02,2018-12-04
Gal Metal!,NS,Music,Xseed Games,0.01,,0.01,0,0.02,2018-10-30
Persona Dancing: Deluxe Twin Plus,PSV,Music,Atlus,,,0.02,,0.02,2018-05-24
Musynx,NS,Music,PM Studios,0.01,,,0,0.01,2018-06-19
Let's Sing 2019,Wii,Music,Ravenscourt,,0.01,,0,0.01,2018-10-26
Persona 3: Dancing in Moonlight,PSV,Music,Atlus,,,0.01,,0.01,2018-12-04
Beat Saber,OR,Music,Beat Games,,,,,,2018-05-01
Beat Saber,PS4,Music,Beat Games,,,,,,2018-11-20
Crypt of the NecroDancer: Nintendo Switch Edition,NS,Music,Brace Yourself Games,,,,,,2018-02-01
EAT BEAT DEADSPIKE-san,NS,Music,Arc System Works,,,,,,2018-03-22
Just Shapes & Beats,NS,Music,Berzerk Studio,,,,,,2018-07-01
Track Lab,PS4,Music,Sony Interactive Entertainment,,,,,,2018-08-21
Super Mario Party,NS,Party,Nintendo,,,,,,2018-10-05
Carnival Games,NS,Party,2K Games,0.11,0.14,,0.02,0.27,2018-11-06
America's Greatest Game Shows: Wheel of Fortune and Jeopardy!,NS,Party,Ubisoft,0.06,,,0.01,0.06,2018-10-30
Party Arcade,NS,Party,Planet Entertainment,0.05,,,0.01,0.06,2018-11-09
Carnival Games,PS4,Party,2K Games,0.04,,,0.01,0.05,2018-11-06
Carnival Games,XOne,Party,2K Games,0.04,,,0.01,0.05,2018-11-06
Hasbro Game Night for Nintendo Switch,NS,Party,Ubisoft,,0.01,,0,0.01,2018-10-30
Just Deal With It,PS4,Party,Wired Productions,0.01,,,0,0.01,2018-12-04
Animal Force,PS4,Party,Oasis Games Ltd.,,,,,,2018-07-10
BINGO for Nintendo Switch,NS,Party,Starsign,,,,,,2018-03-15
Chimparty,PS4,Party,Sony Interactive Entertainment,,,,,,2018-11-13
Frantics,PS4,Party,Sony Interactive Entertainment,,,,,,2018-03-06
Guilt Battle Arena,NS,Party,ForwardXP,,,,,,2018-03-01
Knowledge is Power: Decades,PS4,Party,Sony Interactive Entertainment,,,,,,2018-11-14
Marooners,XOne,Party,M2H,,,,,,2018-02-06
Marooners,PS4,Party,M2H,,,,,,2018-02-06
No Heroes Here,NS,Party,Mad Mimic,,,,,,2018-06-28
Super Rocket Shootout,NS,Party,Plug In Digital,,,,,,2018-03-06
The Jackbox Party Pack 5,NS,Party,Jackbox Games,,,,,,2018-10-17
The Jackbox Party Pack 5,PC,Party,Jackbox Games,,,,,,2018-10-17
Spyro Reignited Trilogy,All,Platform,Activision,,,,,,2018-11-13
Donkey Kong Country: Tropical Freeze,NS,Platform,Nintendo,,,,,,2018-05-04
Kirby Star Allies,NS,Platform,Nintendo,,,,,,2018-03-16
Bloodstained,Series,Platform,Inti Creates,,,,,,2018-05-24
Spyro Reignited Trilogy,PS4,Platform,Activision,0.75,1.07,,0.35,2.17,2018-11-13
Mega Man 11,All,Platform,Capcom,,,,,,2018-10-02
Mega Man X Legacy Collection,All,Platform,Capcom,,,,,,2018-07-24
Crash Bandicoot N. Sane Trilogy,NS,Platform,Activision,0.44,0.57,0.02,0.09,1.11,2018-06-29
Celeste,All,Platform,Matt Makes Games Inc.,,,,,,2018-01-25
Astro Bot Rescue Mission,PS4,Platform,Sony Interactive Entertainment,0.22,0.36,0.02,0.11,0.71,2018-10-02
Spyro Reignited Trilogy,XOne,Platform,Activision,0.36,0.24,,0.06,0.65,2018-11-13
Crash Bandicoot N. Sane Trilogy,XOne,Platform,Activision,0.23,0.37,,0.05,0.65,2018-06-29
Bloodstained: Curse of the Moon,All,Platform,Inti Creates,,,,,,2018-05-24
Mega Man 11,NS,Platform,Capcom,0.29,,0.03,0.03,0.36,2018-10-02
Bloodstained: Curse of the Moon,NS,Platform,Inti Creates,,,,,,2018-05-24
Yooka-Laylee,PS4,Platform,Team17 Software,0.09,0.16,,0.05,0.29,2018-01-01
Mega Man Legacy Collection 1+2,NS,Platform,Capcom,0.2,,0.03,0.02,0.25,2018-05-22
Touhou Luna Nights,All,Platform,Playism,,,,,,2018-08-20
Mega Man 11,PS4,Platform,Capcom,0.09,0.03,0.03,0.03,0.17,2018-10-02
Yooka-Laylee,PC,Platform,Team17 Software,,,,,,2018-01-01
Mega Man X Legacy Collection 1+2,PS4,Platform,Capcom Entertainment,0.07,,0.05,0.02,0.14,2018-07-24
Paw Patrol on a Roll,NS,Platform,Outright Games,,0.12,,0.01,0.13,2018-10-23
Shantae: Half-Genie Hero,NS,Platform,Xseed Games,0.09,0.01,0.01,0.01,0.12,2018-05-08
Paw Patrol on a Roll,PS4,Platform,Outright Games,0.06,,,0.01,0.07,2018-10-23
Scribblenauts: Showdown,NS,Platform,Warner Bros. Interactive,0.03,0.03,,0.01,0.07,2018-03-06
Mega Man 11,XOne,Platform,Capcom,0.06,,,0.01,0.06,2018-10-02
Owlboy,NS,Platform,Soedesco,0.03,0.01,,0.01,0.05,2018-05-29
Little Nightmares,NS,Platform,Bandai Namco Entertainment,,0.02,0.03,0,0.05,2018-05-18
Monster Boy and the Cursed Kingdom,All,Platform,FDG Entertainment,,,,,,2018-12-04
Scribblenauts: Showdown,PS4,Platform,Warner Bros. Interactive,0.04,,,0.01,0.05,2018-03-06
Toki Collector's Edition,NS,Platform,Microids,0.04,,,0.01,0.05,2018-11-22
Owlboy,PS4,Platform,Soedesco,0.04,,,0.01,0.05,2018-05-29
Paw Patrol on a Roll,XOne,Platform,Outright Games,0.04,,,0,0.04,2018-10-23
Mega Man X Legacy Collection 1+2,XOne,Platform,Capcom Entertainment,0.04,,,0,0.04,2018-07-24
Scribblenauts: Showdown,XOne,Platform,Warner Bros. Interactive,0.03,,,0,0.04,2018-03-06
Salt and Sanctuary,NS,Platform,Leadman Games,0.03,,,0,0.03,2018-12-11
Flashback,NS,Platform,Maximum Games,0.01,0.02,,0,0.03,2018-11-20
de Blob 2,NS,Platform,THQ Nordic,0.03,,,0,0.03,2018-08-28
Mega Man X Legacy Collection 1+2,NS,Platform,Capcom,,,0.03,,0.03,2018-07-24
Monster Boy and the Cursed Kingdom,PS4,Platform,FDG Entertainment,0.02,,,0,0.03,2018-11-06
Rad Rodgers,PS4,Platform,THQ Nordic,0.02,,,0,0.02,2018-02-21
Flipping Death,PS4,Platform,Rising Star,0.02,,,0,0.02,2018-10-16
Runner3,NS,Platform,Nicalis,0.02,,,0,0.02,2018-05-22
